sampleDate,station,cruise,MM,YYYY,Valid,vessel,start_timeIn,end_timeOut,start_decLat,start_decLon,depth(m),day_or_night,sciName,commonName,stage,lengthType,length(mm),weight(g),p_towDistance,s_towDistance
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,25,0.19,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,21,0.13,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,22,0.14,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,24,0.19,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,21,0.13,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,22,0.16,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,25,0.21,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,22,0.14,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,22,0.17,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,21,0.13,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,26,0.26,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,24,0.17,670,562
7/6/12,MB30,JUL 6 2012,7,2012,Y,Elakha,8:09:00,8:14:00,44.6905,-124.101667,29.9,Day,Isopsetta isolepis,Butter sole,YOY,SL,24,0.19,670,562
